name:,url:,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:
bitcoin,https://github.com/bitcoin/bitcoin,C++,153,0,1050,3,56.2,2,4074,3595,1.1,492320,0.84683
go-ethereum,https://github.com/ethereum/go-ethereum,Go,100,0,698,7,13.6,15,574,448,1.6,81168,0.82061
bsc,https://github.com/bnb-chain/bsc,Go,100,2,614,7,3.9,14,198,150,2.4,0,0.56422
centre-tokens,https://github.com/centrehq/centre-tokens,JavaScript,50,10,16,5,0.2,1,9,3,1.2,98,0.36061
rippled,https://github.com/ripple/rippled,C++,127,2,115,7,3.1,6,106,54,1.9,5453,0.6422
core,https://github.com/terra-money/core,JavaScript,41,1,27,10,1.3,25,74,51,2.0,12,0.50643
cardano-node,https://github.com/input-output-hk/cardano-node,Haskell,35,0,113,7,19.8,10,399,211,1.7,475,0.64632
solana,https://github.com/solana-labs/solana,Rust,50,0,324,3,89.4,83,2172,1814,2.0,8798,0.77413
avalanchego,https://github.com/ava-labs/avalanchego,Go,25,0,67,1,57.2,40,71,32,1.1,683,0.56074
polkadot,https://github.com/paritytech/polkadot,Rust,50,0,171,4,25.9,24,738,553,2.2,835,0.69038
busd-contract,https://github.com/paxosglobal/busd-contract,Solidity,31,14,4,1,0.0,0,4,1,0.2,0,0.12069
dogecoin,https://github.com/dogecoin/dogecoin,C++,153,5,608,3,4.7,2,84,39,2.2,199,0.5686
core,https://github.com/terra-money/core,JavaScript,41,1,27,10,1.3,25,74,51,2.0,12,0.50643
bor,https://github.com/maticnetwork/bor,Go,100,0,663,8,11.4,21,113,68,1.8,81,0.68323
bitcoin-token-smart-contracts,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,JavaScript,44,10,11,2,0.1,0,3,0,0.3,2,0.19913
dss,https://github.com/makerdao/dss,Solidity,47,0,24,3,0.3,11,22,18,3.3,258,0.50424
litecoin,https://github.com/litecoin-project/litecoin,C++,153,10,759,3,0.0,1,61,45,0.9,194,0.49919
cosmos-sdk,https://github.com/cosmos/cosmos-sdk,Go,75,0,322,8,20.0,30,953,710,1.9,3979,0.77086
nearcore,https://github.com/near/nearcore,Rust,42,0,83,2,26.2,34,947,596,1.4,538,0.62505
chainlink,https://github.com/smartcontractkit/chainlink,Go,53,0,123,5,53.3,21,646,554,1.2,600,0.67864
v3-core,https://github.com/Uniswap/v3-core,TypeScript,31,2,13,3,0.3,5,22,18,0.9,315,0.40786
java-tron,https://github.com/tronprotocol/java-tron,Java,52,1,227,2,19.1,10,133,116,1.0,14036,0.64553
go-algorand,https://github.com/algorand/go-algorand,C,34,0,76,1,19.2,38,658,502,0.8,323,0.56761
core-geth,https://github.com/etclabscore/core-geth,Go,100,1,671,7,17.8,9,29,16,1.1,232,0.64142
stellar-core,https://github.com/stellar/stellar-core,C,89,0,98,4,13.0,30,123,88,1.3,226,0.61696
decentraland-dapps,https://github.com/decentraland/decentraland-dapps,TypeScript,45,1,19,4,2.1,68,24,16,0.6,2,0.39817
hedera-sdk-java,https://github.com/hashgraph/hedera-sdk-java,Java,42,0,16,5,7.0,42,145,130,0.8,15,0.49542
elrond-go,https://github.com/ElrondNetwork/elrond-go,Go,44,0,48,2,49.3,51,321,295,0.6,1207,0.60671
ic,https://github.com/dfinity/ic,Rust,11,0,91,3,25.8,4,6,2,0.5,68,0.45276
Waves,https://github.com/wavesplatform/Waves,Scala,87,0,89,4,3.1,18,66,46,0.1,2797,0.59167
monero,https://github.com/monero-project/monero,C++,102,0,360,0,4.7,3,260,185,2.3,3049,0.5998
thor,https://github.com/vechain/thor,Go,53,0,21,2,4.9,4,10,9,0.4,57,0.41564
lotus,https://github.com/filecoin-project/lotus,Go,33,0,178,5,61.1,69,793,606,1.1,1621,0.70124
go-lachesis,https://github.com/Fantom-foundation/go-lachesis,Go,63,11,42,3,0.0,1,6,5,1.0,168,0.37256
klaytn,https://github.com/klaytn/klaytn,Go,34,0,35,5,17.6,11,206,153,1.0,12,0.51527
theta-protocol-ledger,https://github.com/thetatoken/theta-protocol-ledger,Go,44,1,9,0,3.2,9,8,1,0.6,409,0.3533
blockchain-core,https://github.com/helium/blockchain-core,Erlang,43,0,24,3,18.1,104,147,110,0.7,0,0.44837
zcash,https://github.com/zcash/zcash,C++,153,0,586,5,14.8,7,447,299,1.0,4307,0.72679
eos,https://github.com/EOSIO/eos,C++,60,8,286,3,3.1,4,133,101,0.4,48378,0.59752
flow-go,https://github.com/onflow/flow-go,Go,35,0,67,6,101.0,15,481,338,1.5,784,0.66949
aave-protocol,https://github.com/aave/aave-protocol,HTML,30,14,5,1,0.0,0,13,1,0.2,28,0.19244
iota.js,https://github.com/iotaledger/iota.js,TypeScript,67,0,54,4,2.3,8,53,46,0.9,21,0.48952
market-maker-keeper,https://github.com/makerdao/market-maker-keeper,Python,61,6,20,5,0.0,0,0,0,0.0,3,0.25038
graph-node,https://github.com/graphprotocol/graph-node,Rust,48,0,69,8,19.0,11,407,295,1.3,808,0.65222
pancake-frontend,https://github.com/pancakeswap/pancake-frontend,TypeScript,19,0,78,2,44.8,0,675,655,1.8,2161,0.58439
bttc,https://github.com/bttcprotocol/bttc,Go,100,3,648,8,7.2,2,11,7,1.5,0,0.49174
stacks-blockchain,https://github.com/stacks-network/stacks-blockchain,Rust,91,1,89,5,20.5,31,147,83,1.9,4,0.55636
harmony,https://github.com/harmony-one/harmony,Go,47,0,82,8,9.1,13,176,114,1.1,228,0.60875
