CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge
1765,51,EOS,EOS,https://eos.io/,,https://github.com/EOSIO/eos,y,,EOSIO/eos,github
4558,52,Flow,FLOW,https://flow.com,,https://github.com/onflow/flow-go,y,,onflow/flow-go,github
7278,53,Aave,AAVE,https://aave.com/,https://ethlend.io,https://github.com/aave/aave-protocol,y,,aave/aave-protocol,github
1720,54,IOTA,MIOTA,https://www.iota.org/,,https://github.com/iotaledger/iota.js,y,,iotaledger/iota.js,github
1518,55,Maker,MKR,https://makerdao.com/,,https://github.com/makerdao/market-maker-keeper,y,see also: DAI,makerdao/market-maker-keeper,github
6719,56,The Graph,GRT,https://thegraph.com,,https://github.com/graphprotocol/graph-node,y,,graphprotocol/graph-node,github
7186,57,PancakeSwap,CAKE,https://pancakeswap.finance/,,https://github.com/pancakeswap/pancake-frontend,y,,pancakeswap/pancake-frontend,github
16086,58,BitTorrent-New,BTT,https://bt.io/,,https://github.com/bttcprotocol/bttc,y,wong repo on CMC,bttcprotocol/bttc,github
4847,59,Stacks,STX,https://stacks.co,,https://github.com/blockstack/stacks-blockchain,y,,blockstack/stacks-blockchain,github
7080,60,Gala,GALA,https://gala.games/,,private,y,,,
3945,61,Harmony,ONE,https://www.harmony.one/,https://t.me/harmony_announcements,https://github.com/harmony-one/harmony,y,,harmony-one/harmony,github
3602,62,Bitcoin SV,BSV,https://bitcoinsv.com/,https://bitcoinsv.io/,https://github.com/bitcoin-sv/bitcoin-sv,y,,bitcoin-sv/bitcoin-sv,github
1376,63,Neo,NEO,https://neo.org/,,https://github.com/neo-project/neo,y,,neo-project/neo,github
10791,64,eCash,XEC,https://e.cash/,,https://github.com/Bitcoin-ABC/bitcoin-abc,y,,Bitcoin-ABC/bitcoin-abc,github
2087,65,KuCoin Token,KCS,https://www.kucoin.com/,,private,y,exchange token,,
3155,66,Quant,QNT,https://quant.network/,,https://github.com/quantnetwork/overledger-sdk-javascript,y,,quantnetwork/overledger-sdk-javascript,github
2502,67,Huobi Token,HT,https://www.huobiwallet.com,https://www.hbg.com/,https://github.com/HuobiGroup/huobi-eco-chain,y,,HuobiGroup/huobi-eco-chain,github
2563,68,TrueUSD,TUSD,https://www.trueusd.com/,,https://github.com/trusttoken/smart-contracts,y,,trusttoken/smart-contracts,github
5034,69,Kusama,KSM,https://kusama.network/,,https://github.com/kusamanetwork/KSM-dapp,y,runs on polkadot,kusamanetwork/KSM-dapp,github
131,70,Dash,DASH,https://www.dash.org/,https://newsroom.dash.org/,https://github.com/dashpay/dash,y,,dashpay/dash,github
2130,71,Enjin Coin,ENJ,https://enjin.io/,,https://github.com/enjin/enjin-java-sdk,y,,enjin/enjin-java-sdk,github
5567,72,Celo,CELO,https://celo.org/,https://www.celocamp.com/,https://github.com/celo-org/celo-monorepo,y,,celo-org/celo-monorepo,github
2694,73,Nexo,NEXO,http://nexo.io,,https://github.com/nexofinance/NEXO-Token,y,,nexofinance/NEXO-Token,github
1697,74,Basic Attention Token,BAT,https://basicattentiontoken.org/,,https://github.com/brave-intl/bat-go,y,token,brave-intl/bat-go,github
4066,75,Chiliz,CHZ,https://www.chiliz.com/,,private,y,,,
3897,76,OKB,OKB,https://www.okx.com/,,private,y,OKEx token,,
9903,77,Convex Finance,CVX,https://www.convexfinance.com/,,https://github.com/convex-eth/platform,y,,convex-eth/platform,github
6945,78,Amp,AMP,https://amptoken.org,,https://github.com/amptoken/amp-token-contracts,y,,amptoken/amp-token-contracts,github
5632,79,Arweave,AR,https://www.arweave.org,,https://github.com/ArweaveTeam/arweave,y,,ArweaveTeam/arweave,github
1934,80,Loopring,LRC,https://loopring.org,,https://github.com/Loopring/protocols,y,,Loopring/protocols,github
5647,81,Kadena,KDA,http://kadena.io/,,https://github.com/kadena-io/chainweb-node,y,,kadena-io/chainweb-node,github
6538,82,Curve DAO Token,CRV,https://guides.curve.fi/everything-you-need-to-know-about-crv/,https://www.curve.fi/,https://github.com/curvefi/curve-contract,y,,curvefi/curve-contract,github
873,83,NEM,XEM,http://nem.io,,https://github.com/nemtech/catapult-server,y,,nemtech/catapult-server,github
3330,84,Pax Dollar,USDP,https://www.paxos.com/usdp/,,https://github.com/paxosglobal/pax-contracts,y,SC,paxosglobal/pax-contracts,github
3822,86,Theta Fuel,TFUEL,https://www.thetatoken.org,,excluded,y,"token, see also: THETA, id:2416",,
8646,85,Mina,MINA,https://minaprotocol.com/,,https://github.com/MinaProtocol/mina,y,,MinaProtocol/mina,github
7653,87,Oasis Network,ROSE,https://oasisprotocol.org/,,https://github.com/oasisprotocol/oasis-core,y,,oasisprotocol/oasis-core,github
1168,88,Decred,DCR,https://decred.org/,https://proposals.decred.org/,https://github.com/decred/dcrd,y,,decred/dcrd,github
2700,89,Celsius,CEL,https://celsius.network/,,https://github.com/CelsiusNetwork/celsius-js-sdk,y,,CelsiusNetwork/celsius-js-sdk,github
8677,90,Symbol,XYM,https://www.symbol.dev,https://github.com/symbol,https://github.com/symbol/symbol,y,,symbol/symbol,github
5692,91,Compound,COMP,https://compound.finance/governance/comp,,https://github.com/compound-finance/compound-protocol,y,,compound-finance/compound-protocol,github
5604,93,Secret,SCRT,https://scrt.network,,https://github.com/enigmampc/SecretNetwork,y,,enigmampc/SecretNetwork,github
2682,92,Holo,HOT,https://holochain.org/,https://holo.host,https://github.com/holochain/holochain,y,prev: https://github.com/holochain/holochain-rust,holochain/holochain,github
5864,94,yearn.finance,YFI,https://yearn.finance/,,https://github.com/yearn/yearn-protocol,y,,yearn/yearn-protocol,github
5068,95,Neutrino USD,USDN,https://neutrino.at/,,https://github.com/waves-exchange/neutrino-contract,y,,waves-exchange/neutrino-contract,github
2777,96,IoTeX,IOTX,https://www.iotex.io/,,https://github.com/iotexproject/iotex-core,y,,iotexproject/iotex-core,github
3801,97,BORA,BORA,https://boraecosystem.com,,https://github.com/boraecosystem/BORA-Platform-Sample-LoginTest,y,,boraecosystem/BORA-Platform-Sample-LoginTest,github
4279,98,SXP,SXP,https://solar.org,https://swipe.io,https://github.com/SwipeWallet/Swipe-Network,y,,SwipeWallet/Swipe-Network,github
8857,99,Anchor Protocol,ANC,https://app.anchorprotocol.com,,https://github.com/Anchor-Protocol/anchor-web-app,y,,Anchor-Protocol/anchor-web-app,github
1684,100,Qtum,QTUM,https://qtum.org/,,https://github.com/qtumproject/qtum,y,,qtumproject/qtum,github
1808,101,OMG Network,OMG,https://omg.network/,https://omisego.co/,https://github.com/omgnetwork/plasma-contracts,y,layer 2 ETH scaling,omgnetwork/plasma-contracts,github
2083,102,Bitcoin Gold,BTG,https://bitcoingold.org/,,https://github.com/BTCGPU/BTCGPU,y,,BTCGPU/BTCGPU,github
2634,103,XDC Network,XDC,https://www.xdc.org/,https://www.xinfin.org/,https://github.com/xinfinorg/XinFin-Node,y,,xinfinorg/XinFin-Node,github
8104,104,1inch Network,1INCH,https://1inch.io/,,https://github.com/1inch/1inchProtocol,y,,1inch/1inchProtocol,github
5690,105,Render Token,RNDR,https://rendertoken.com/,,private,y,,,
4705,106,PAX Gold,PAXG,https://www.paxos.com/paxgold/,,https://github.com/paxosglobal/paxos-gold-contract,y,,paxosglobal/paxos-gold-contract,github
7455,107,Audius,AUDIO,https://audius.co/,,https://github.com/AudiusProject/audius-protocol,y,,AudiusProject/audius-protocol,github
1727,108,Bancor,BNT,https://bancor.network/,,https://github.com/bancorprotocol/contracts-solidity,y,,bancorprotocol/contracts-solidity,github
5777,109,renBTC,RENBTC,https://renproject.io/,,https://github.com/renproject/ren-js,y,,renproject/ren-js,github
3783,110,Ankr,ANKR,https://www.ankr.com/,,https://github.com/Ankr-network/dccn-common,y,,Ankr-network/dccn-common,github
1659,111,Gnosis,GNO,https://gnosis.io/,,https://github.com/gnosis/safe-contracts,y,,gnosis/safe-contracts,github
2577,112,Ravencoin,RVN,https://ravencoin.org/,https://getravencoin.org/,https://github.com/RavenProject/Ravencoin,y,,RavenProject/Ravencoin,github
2099,113,ICON,ICX,https://iconrepublic.org/,,https://github.com/icon-project/goloop,y,,icon-project/goloop,github
4846,114,Kava,KAVA,https://www.kava.io/,https://app.kava.io/,https://github.com/Kava-Labs/kava,y,,Kava-Labs/kava,github
2586,115,Synthetix,SNX,https://www.synthetix.io/,,https://github.com/Synthetixio/synthetix,y,,Synthetixio/synthetix,github
3640,116,Livepeer,LPT,https://livepeer.org/,,https://github.com/livepeer/go-livepeer,y,,livepeer/go-livepeer,github
9444,117,Kyber Network Crystal v2,KNC,https://kyber.network/,,https://github.com/KyberNetwork/KyberSwap,y,,KyberNetwork/KyberSwap,github
7501,118,WOO Network,WOO,https://woo.org,https://woo.network/token,private,y,,,
2300,119,WAX,WAXP,https://wax.io/,,https://github.com/worldwide-asset-exchange/wax-blockchain,y,,worldwide-asset-exchange/wax-blockchain,github
6836,120,Moonbeam,GLMR,https://moonbeam.network/,https://moonbeam.foundation/,https://github.com/PureStake/moonbeam,y,,PureStake/moonbeam,github
2469,121,Zilliqa,ZIL,https://www.zilliqa.com/,,https://github.com/Zilliqa/Zilliqa,y,,Zilliqa/Zilliqa,github
1698,122,Horizen,ZEN,https://www.horizen.io/,https://academy.horizen.io/,https://github.com/HorizenOfficial/zen,y,,HorizenOfficial/zen,github
8075,123,Rally,RLY,https://vaults.rally.io/vaults,https://rally.io/,https://github.com/starcard-org/yield-delegation,y,,starcard-org/yield-delegation,github
1817,124,Voyager Token,VGX,https://www.investvoyager.com/,https://www.ethos.io/,private,y,formerly ETHOS,,
10603,125,Immutable X,IMX,https://www.immutable.com/,,private,y,,,
4269,127,GateToken,GT,https://gatechain.io/,,https://github.com/gatechain/node-binary,y,,gatechain/node-binary,github
5617,126,UMA,UMA,https://umaproject.org/,,https://github.com/UMAprotocol/protocol,y,,UMAprotocol/protocol,github
4747,128,Velas,VLX,https://velas.com,,https://github.com/velas/velas-chain,y,,velas/velas-chain,github
1042,130,Siacoin,SC,https://sia.tech/,,https://gitlab.com/NebulousLabs/Sia,y,,NebulousLabs/Sia,gitlab
1455,131,Golem,GLM,https://golem.network/,,https://github.com/golemfactory/yagna,y,,golemfactory/yagna,github
18069,129,Green Metaverse Token,GMT,https://www.stepn.com/,,private,y,,,
4566,132,DigitalBits,XDB,http://www.digitalbits.io/,,https://github.com/xdbfoundation/DigitalBits,y,,xdbfoundation/DigitalBits,github
1896,133,0x,ZRX,https://0x.org/,,https://github.com/0xProject/0x-monorepo,y,,0xProject/0x-monorepo,github
2405,134,IOST,IOST,http://iost.io/,,https://github.com/iost-official/go-iost,y,,iost-official/go-iost,github
2566,135,Ontology,ONT,https://ont.io/,,https://github.com/ontio/ontology,y,,ontio/ontology,github
9816,136,APENFT,NFT,http://apenft.org/,,private,y,,,
2499,137,SwissBorg,CHSB,https://swissborg.com/,,https://github.com/SwissBorg,y,token on Ethereum,SwissBorg,github
5691,138,SKALE Network,SKL,https://skale.network/,,https://github.com/skalenetwork/skale-consensus,y,,skalenetwork/skale-consensus,github
1772,139,Storj,STORJ,https://storj.io/,,https://github.com/storj/storj,y,,storj/storj,github
8642,140,Fei USD,FEI,https://fei.money/,,https://github.com/fei-protocol/fei-protocol-core,y,,fei-protocol/fei-protocol-core,github
6758,141,SushiSwap,SUSHI,https://sushi.com/,,https://github.com/sushiswap/sushiswap,y,,sushiswap/sushiswap,github
2135,142,Revain,REV,https://revain.org/,https://company.revain.org,https://github.com/Revain,y,token,Revain,github
11289,143,Spell Token,SPELL,https://abracadabra.money/,,https://github.com/Abracadabra-money/magic-internet-money,y,,Abracadabra-money/magic-internet-money,github
5566,144,Keep Network,KEEP,https://keep.network,,https://github.com/keep-network/tbtc,y,,keep-network/tbtc,github
3306,145,Gemini Dollar,GUSD,https://gemini.com/dollar/,,https://github.com/gemini/dollar,y,,gemini/dollar,github
9436,146,Dogelon Mars,ELON,https://dogelonmars.com/,,private,y,,,
541,147,Syscoin,SYS,http://syscoin.org,,https://github.com/syscoin/syscoin,y,,syscoin/syscoin,github
3911,148,Ocean Protocol,OCEAN,https://oceanprotocol.com/,,https://github.com/oceanprotocol/market,y,,oceanprotocol/market,github
2394,149,Telcoin,TEL,https://www.telco.in/,,https://github.com/telcoin/plaid,y,,telcoin/plaid,github
5488,150,JUST,JST,https://just.network/#/,,private,y,,,
5370,151,Hive,HIVE,https://hive.io/,,https://github.com/openhive-network/hive,y,,openhive-network/hive,github
2496,152,Polymath,POLY,https://www.polymath.network/,,https://github.com/PolymathNetwork/polymath-core,y,,PolymathNetwork/polymath-core,github
8719,153,Illuvium,ILV,https://illuvium.io/,,private,y,,,
2539,154,Ren,REN,https://renproject.io/,,https://github.com/renproject/ren-js,y,,renproject/ren-js,github
4948,155,Nervos Network,CKB,http://nervos.org/,,https://github.com/nervosnetwork/ckb,y,,nervosnetwork/ckb,github
3029,156,Flux,FLUX,https://runonflux.io/,https://zelcore.io/,https://github.com/RunOnFlux/flux,y,,RunOnFlux/flux,github
4189,157,Ultra,UOS,https://ultra.io/,,private,y,,,
11156,158,dYdX,DYDX,https://dydx.community,,https://github.com/dydxfoundation/governance-contracts,y,,dydxfoundation/governance-contracts,github
6187,159,Serum,SRM,https://projectserum.com/,,private,y,,,
109,160,DigiByte,DGB,https://digibyte.org/,https://dgbwiki.com/,https://github.com/DigiByte-Core/digibyte,y,,DigiByte-Core/digibyte,github
5964,161,Trust Wallet Token,TWT,https://trustwallet.com/,,https://github.com/trustwallet/wallet-core,y,,trustwallet/wallet-core,github
13855,162,Ethereum Name Service,ENS,https://ens.domains/,,https://github.com/ensdomains/ens,y,,ensdomains/ens,github
2856,163,CEEK VR,CEEK,https://www.ceek.io/,,private,y,,,
14806,164,ConstitutionDAO,PEOPLE,https://www.constitutiondao.com/,,private,y,,,
6950,165,Perpetual Protocol,PERP,https://perp.com,https://app.perp.com/,https://github.com/perpetual-protocol/perpetual-protocol,y,,perpetual-protocol/perpetual-protocol,github
4761,166,NuCypher,NU,https://nucypher.com,,https://github.com/nucypher/nucypher,y,,nucypher/nucypher,github
1567,167,Nano,XNO,http://nano.org/en,,https://github.com/nanocurrency/nano-node,y,,nanocurrency/nano-node,github
7461,168,PlayDapp,PLA,https://playdapp.io,,https://github.com/playdapp/PLA,y,,playdapp/PLA,github
11584,169,Braintrust,BTRST,https://www.braintrust.com,,https://github.com/Snowfork/BTRST-Contracts,y,,Snowfork/BTRST-Contracts,github
10688,170,Yield Guild Games,YGG,https://yieldguild.io/,,private,y,,,
5899,171,Casper,CSPR,https://casper.network/,,https://github.com/casper-network/casper-node,y,,casper-network/casper-node,github
6953,172,Frax Share,FXS,https://frax.finance/#welcome,,https://github.com/FraxFinance/frax-solidity,y,,FraxFinance/frax-solidity,github
10903,173,Coin98,C98,https://www.coin98.com/,,https://github.com/coin98/saros-sdk,y,,coin98/saros-sdk,github
7281,174,Persistence,XPRT,https://persistence.one,,https://github.com/persistenceOne/persistenceCore,y,,persistenceOne/persistenceCore,github
3814,175,Celer Network,CELR,https://www.celer.network/#,,https://github.com/celer-network/goCeler-oss,y,,celer-network/goCeler-oss,github
1214,176,Lisk,LSK,https://Lisk.com/,,https://github.com/LiskHQ/lisk-core,y,,LiskHQ/lisk-core,github
4206,177,WINkLink,WIN,https://winklink.org/,,https://github.com/wink-link/winklink,y,,wink-link/winklink,github
5117,178,Origin Protocol,OGN,https://www.originprotocol.com,https://www.story.xyz,https://github.com/OriginProtocol/origin,y,,OriginProtocol/origin,github
7226,179,Injective,INJ,https://injective.com,,https://github.com/InjectiveLabs/injective-ts,y,,InjectiveLabs/injective-ts,github
4038,180,MovieBloc,MBL,https://www.moviebloc.com/,,private,y,,,
8290,181,SuperFarm,SUPER,https://superfarm.com/#/,,private,y,,,
1886,182,Dent,DENT,https://www.dentwireless.com/,,private,y,,,
3773,183,Fetch.ai,FET,https://fetch.ai/,https://community.fetch.ai/,https://github.com/fetchai/agents-aea,y,,fetchai/agents-aea,github
3628,184,MXC,MXC,https://www.mxc.org/,,https://github.com/mxc-foundation/node-prod-firmware,y,,mxc-foundation/node-prod-firmware,github
9025,185,Tribe,TRIBE,https://fei.money/,,private,y,,,
8526,186,Raydium,RAY,https://raydium.io/#/,,private,y,,,
2132,187,Powerledger,POWR,https://powerledger.io/,,private,y,,,
2765,188,XYO,XYO,https://xyo.network/,,https://github.com/XYOracleNetwork/xyo-foundation,y,,XYOracleNetwork/xyo-foundation,github
3978,189,Chromia,CHR,https://chromia.com/,https://chromapolis.com/,https://bitbucket.org/chromawallet/postchain2/src/master,y,,chromawallet/postchain2/src/master,bitbucket
9308,190,Vulcan Forged PYR,PYR,https://vulcanforged.com/,,private,y,,,
9258,191,Chia,XCH,https://www.chia.net/,,https://github.com/XYOracleNetwork-v1/client-xyo-nodejs,y,,XYOracleNetwork-v1/client-xyo-nodejs,github
2303,192,MediBloc,MED,https://medibloc.com/en/,,https://github.com/medibloc/panacea-core,y,,medibloc/panacea-core,github
3992,193,COTI,COTI,https://coti.io/,,https://github.com/coti-io/coti-node,y,,coti-io/coti-node,github
3217,194,Ontology Gas,ONG,https://ont.io/,,https://github.com/ontio/ontology,y,,ontio/ontology,github
3884,195,Function X,FX,https://functionx.io/,,https://github.com/FunctionX/fx-core,y,,FunctionX/fx-core,github
2071,196,Request,REQ,https://request.network/,,https://github.com/RequestNetwork/requestNetwork,y,,RequestNetwork/requestNetwork,github
9285,197,Moonriver,MOVR,https://moonbeam.network/networks/moonriver/,https://moonbeam.foundation/,https://github.com/PureStake/moonbeam,y,,PureStake/moonbeam,github
5161,198,WazirX,WRX,https://wazirx.com/,,private,y,,,
3835,199,Orbs,ORBS,https://www.orbs.com/,,https://github.com/orbs-network/orbs-network-go,y,,orbs-network/orbs-network-go,github
8335,242,Mdex,MDX,https://mdex.co,,private,y,,,
5015,201,HEX,HEX,https://hex.com/,https://go.hex.win/,https://github.com/BitcoinHEX/contract,y,,BitcoinHEX/contract,github
18579,202,Wrapped TRON,WTRX,https://tron.network/,,https://github.com/tronprotocol/java-tron,y,,tronprotocol/java-tron,github
8085,203,Lido stETH,STETH,https://lido.fi/,,https://github.com/lidofinance/lido-dao,y,,lidofinance/lido-dao,github
6952,204,Frax,FRAX,https://frax.finance/#welcome,,https://github.com/FraxFinance/frax-solidity,y,,FraxFinance/frax-solidity,github
12220,205,Osmosis,OSMO,https://osmosis.zone/,,https://github.com/osmosis-labs/osmosis,y,,osmosis-labs/osmosis,github
11419,206,Toncoin,TON,https://ton.org/,,https://github.com/newton-blockchain/ton,y,,newton-blockchain/ton,github
7192,207,Wrapped BNB,WBNB,https://www.binance.org/,,private,y,,,
3718,208,BitTorrent,BTTOLD,https://www.bittorrent.com/btt/,,https://github.com/bittorrent,y,token on TRON,bittorrent,github
11498,210,Chainbing,CBG,https://www.chainbing.io,,https://github.com/chainbing/node,y,,chainbing/node,github
6941,209,Huobi BTC,HBTC,https://www.hbtc.finance/en-us/,https://www.hbtc.finance/en-us/assets,private,y,,,
5804,211,DeFiChain,DFI,https://defichain.com/,,https://github.com/DeFiCh/ain,y,,DeFiCh/ain,github
4512,212,LINK,LN,https://blockchain.line.me/,,private,y,,,
7321,213,yOUcash,YOUC,https://youengine.io,,https://github.com/YOUengine/ReadMe,y,,YOUengine/ReadMe,github
7961,214,Venus BNB,vBNB,https://app.venus.io/dashboard,,https://github.com/VenusProtocol/venus-protocol,y,,VenusProtocol/venus-protocol,github
9566,215,Liquity USD,LUSD,https://www.liquity.org/,,https://github.com/liquity/dev,y,,liquity/dev,github
11221,216,BitDAO,BIT,https://www.bitdao.io/,,https://github.com/bitdao-io/bitdao-interface,y,,bitdao-io/bitdao-interface,github
5830,217,NXM,NXM,https://nexusmutual.io/,,https://github.com/NexusMutual/smart-contracts,y,,NexusMutual/smart-contracts,github
5482,218,Counos X,CCXX,https://www.counos.io/CounosX,https://www.counos.io/counos-x-roadmap,https://github.com/counos-platform/counos-X,y,,counos-platform/counos-X,github
7548,219,WEMIX,WEMIX,https://wemixnetwork.com/,,https://github.com/wemade-tree/contract-reference,y,,wemade-tree/contract-reference,github
5185,220,KOK,KOK,http://kok-chain.io,,https://github.com/KOK-Foundation/ERC-20,y,,KOK-Foundation/ERC-20,github
6432,221,ECOMI,OMI,https://www.ecomi.com/,,private,y,,,
4779,222,HUSD,HUSD,http://www.stcoins.com/,,private,y,stable coin; no github,,
9640,223,MetisDAO,METIS,https://www.metis.io,,https://github.com/MetisProtocol/metis,y,,MetisProtocol/metis,github
5514,224,The Transfer Token,TTT,https://www.atom-solutions.jp/en/xecttt/,https://www.atom-solutions.jp/en/,https://github.com/atom-solutions/TheTransferToken,y,,atom-solutions/TheTransferToken,github
268,225,WhiteCoin,XWC,http://whitecoin.info/,http://xwc.com/,https://github.com/Whitecoin-XWC/Whitecoin-core,y,,Whitecoin-XWC/Whitecoin-core,github
7878,226,MobileCoin,MOB,https://mobilecoin.foundation/,https://www.mobilecoin.com/,https://github.com/mobilecoinfoundation/mobilecoin,y,,mobilecoinfoundation/mobilecoin,github
8000,227,Lido DAO Token,LDO,https://lido.fi/,,https://github.com/lidofinance/lido-dao,y,,lidofinance/lido-dao,github
2943,228,Rocket Pool,RPL,https://www.rocketpool.net/,,https://github.com/rocket-pool/rocketpool,y,,rocket-pool/rocketpool,github
3951,229,Pirate Chain,ARRR,https://pirate.black/,,https://github.com/PirateNetwork/pirate,y,,PirateNetwork/pirate,github
